t_s,weight
0.0077,0.0
0.0161,0.0
0.0244,0.0
0.0328,0.0
0.0411,0.0
0.0494,0.0
0.0578,0.0
0.0661,0.0
0.0745,0.0
0.0828,0.0
0.0912,0.0
0.0995,0.0
0.1078,0.0
0.1162,0.0
0.1245,0.0
0.1329,0.0
0.1412,0.0
0.1495,0.0
0.1579,0.0
0.1662,0.0
0.1746,0.0
0.1829,0.0
0.1913,0.0
0.1996,0.0
0.2079,0.0
0.2163,0.0
0.2246,0.0
0.233,0.0
0.2413,0.0
0.2496,0.0
0.258,0.0
0.2663,0.0
0.2747,0.0
0.283,0.0
0.2914,0.0
0.2997,0.0
0.308,0.0
0.3164,0.0
0.3247,0.0
0.3331,0.0
0.3414,0.0
0.3497,0.0
0.3581,0.0
0.3664,0.0
0.3748,0.0
0.3831,0.0
0.3915,0.0
0.3998,0.0
0.4081,0.0
0.4165,0.0
0.4248,0.0
0.4332,0.0
0.4415,0.0
0.4498,0.0
0.4582,0.0
0.4665,0.0
0.4749,0.0
0.4832,0.0
0.4916,0.0
0.4999,0.0
0.5082,0.0
0.5166,0.0
0.5249,0.0
0.5333,0.0
0.5416,0.0
0.5499,0.0
0.5583,0.0
0.5666,0.0
0.575,0.0
0.5833,0.0
0.5917,0.0
0.6,0.0
0.6083,0.0
0.6167,0.0
0.625,0.0
0.6334,0.0
0.6417,0.0
0.65,0.0
0.6584,0.0
0.6667,0.0
0.6751,0.0
0.6834,0.0
0.6918,0.0
0.7001,0.0
0.7084,0.0
0.7168,0.0
0.7251,0.0
0.7335,0.0
0.7418,0.0
0.7501,0.0
0.7585,0.0
0.7668,0.0
0.7752,0.0
0.7835,0.0
0.7919,0.0
0.8002,0.0
0.8085,0.0
0.8169,0.0
0.8252,0.0
0.8336,0.0
0.8419,0.0
0.8502,0.0
0.8586,0.0
0.8669,0.0
0.8753,0.0
0.8836,0.0
0.892,0.0
0.9003,0.0
0.9086,0.0
0.917,0.0
0.9253,0.0
0.9337,0.0
0.942,0.0
0.9503,0.0
0.9587,0.0
0.967,0.0
0.9754,0.0
0.9837,0.0
0.9921,0.0
1.0004,0.0
1.0087,0.0
1.0171,0.0
1.0254,0.0
1.0338,0.0
1.0421,0.0
1.0504,0.4
1.0588,0.8
1.0671,1.2
1.0755,1.6
1.0838,2.0
1.0922,2.0
1.1005,2.0
1.1088,2.0
1.1172,2.0
1.1255,2.0
1.1339,2.0
1.1422,2.0
1.1505,2.0
1.1589,2.0
1.1672,2.0
1.1756,2.0
1.1839,2.0
1.1923,2.0
1.2006,2.0
1.2089,2.0
1.2173,2.0
1.2256,2.0
1.234,2.0
1.2423,2.0
1.2506,2.0
1.259,12.0
1.2673,18.0
1.2757,18.0
1.284,18.0
1.2924,18.0
1.3007,18.0
1.309,19.0
1.3174,19.0
1.3257,19.0
1.3341,19.0
1.3424,19.0
1.3507,19.0
1.3591,19.7
1.3674,20.3
1.3758,21.0
1.3841,21.0
1.3925,21.0
1.4008,21.0
1.4091,21.0
1.4175,21.0
1.4258,21.0
1.4342,21.0
1.4425,21.0
1.4508,24.0
1.4592,24.0
1.4675,24.0
1.4759,24.0
1.4842,24.0
1.4926,24.0
1.5009,24.0
1.5092,24.0
1.5176,24.0
1.5259,24.0
1.5343,24.0
1.5426,24.0
1.5509,24.0
1.5593,24.0
1.5676,24.0
1.576,24.0
1.5843,24.0
1.5927,27.0
1.601,27.0
1.6093,27.0
1.6177,27.0
1.626,27.0
1.6344,27.0
1.6427,27.5
1.651,28.0
1.6594,28.0
1.6677,28.0
1.6761,28.0
1.6844,28.0
1.6928,28.0
1.7011,28.0
1.7094,28.0
1.7178,28.0
1.7261,28.0
1.7345,28.0
1.7428,28.0
1.7511,28.0
1.7595,28.0
1.7678,28.0
1.7762,28.0
1.7845,28.0
1.7929,28.0
1.8012,29.0
1.8095,29.0
1.8179,29.0
1.8262,29.0
1.8346,29.0
1.8429,29.0
1.8512,29.0
1.8596,29.0
1.8679,29.0
1.8763,29.0
1.8846,29.0
1.893,29.0
1.9013,29.0
1.9096,29.0
1.918,29.0
1.9263,29.0
1.9347,29.0
1.943,29.0
