t_s,weight
0.0072,0.0
0.0155,0.0
0.0239,0.0
0.0322,0.0
0.0406,0.0
0.0489,0.0
0.0573,0.0
0.0656,0.0
0.0739,0.0
0.0823,0.0
0.0906,0.0
0.099,0.0
0.1073,0.0
0.1156,0.0
0.124,0.0
0.1323,0.0
0.1407,0.0
0.149,0.0
0.1574,0.0
0.1657,0.0
0.174,0.0
0.1824,0.0
0.1907,0.0
0.1991,0.0
0.2074,0.0
0.2157,0.0
0.2241,0.0
0.2324,0.0
0.2408,0.0
0.2491,0.0
0.2575,0.0
0.2658,0.0
0.2741,0.0
0.2825,0.0
0.2908,0.0
0.2992,0.0
0.3075,0.0
0.3158,0.0
0.3242,0.0
0.3325,0.0
0.3409,0.0
0.3492,0.0
0.3576,0.0
0.3659,0.0
0.3742,0.0
0.3826,0.0
0.3909,0.0
0.3993,0.0
0.4076,0.0
0.4159,0.0
0.4243,0.0
0.4326,0.0
0.441,0.0
0.4493,0.0
0.4577,0.0
0.466,0.0
0.4743,0.0
0.4827,0.0
0.491,0.0
0.4994,0.0
0.5077,0.0
0.516,0.0
0.5244,0.0
0.5327,0.0
0.5411,0.0
0.5494,0.0
0.5578,0.0
0.5661,0.0
0.5744,0.0
0.5828,0.0
0.5911,0.0
0.5995,0.0
0.6078,0.0
0.6161,0.0
0.6245,0.0
0.6328,0.0
0.6412,0.0
0.6495,0.0
0.6579,0.0
0.6662,0.0
0.6745,0.0
0.6829,0.0
0.6912,0.0
0.6996,0.0
0.7079,0.0
0.7162,0.0
0.7246,0.0
0.7329,0.0
0.7413,0.0
0.7496,0.0
0.758,0.0
0.7663,0.0
0.7746,0.0
0.783,0.0
0.7913,0.0
0.7997,0.0
0.808,0.0
0.8163,0.0
0.8247,0.0
0.833,0.0
0.8414,0.0
0.8497,0.0
0.8581,0.0
0.8664,0.0
0.8747,0.0
0.8831,0.0
0.8914,0.0
0.8998,0.0
0.9081,0.0
0.9164,0.0
0.9248,0.0
0.9331,0.0
0.9415,0.0
0.9498,0.0
0.9582,0.0
0.9665,0.0
0.9748,0.0
0.9832,0.0
0.9915,0.0
0.9999,0.0
1.0082,0.0
1.0165,0.0
1.0249,0.0
1.0332,0.0
1.0416,0.0
1.0499,0.0
1.0583,0.0
1.0666,0.0
1.0749,0.0
1.0833,0.0
1.0916,0.0
1.1,0.0
1.1083,0.0
1.1166,0.6
1.125,1.2
1.1333,1.8
1.1417,2.4
1.15,3.0
1.1584,3.0
1.1667,3.0
1.175,3.0
1.1834,3.0
1.1917,3.0
1.2001,3.0
1.2084,3.0
1.2167,3.0
1.2251,3.0
1.2334,6.3
1.2418,6.3
1.2501,6.3
1.2585,6.3
1.2668,6.3
1.2751,6.3
1.2835,6.3
1.2918,6.3
1.3002,6.3
1.3085,6.3
1.3168,6.3
1.3252,6.3
1.3335,8.1
1.3419,10.1
1.3502,12.2
1.3586,14.2
1.3669,16.2
1.3752,18.2
1.3836,20.3
1.3919,20.3
1.4003,20.3
1.4086,20.3
1.4169,20.3
1.4253,20.3
1.4336,20.3
1.442,20.3
1.4503,20.3
1.4587,20.3
1.467,20.8
1.4753,21.0
1.4837,21.0
1.492,21.0
1.5004,21.0
1.5087,21.0
1.517,21.0
1.5254,21.0
1.5337,21.0
1.5421,21.0
1.5504,21.0
1.5588,21.0
1.5671,21.0
1.5754,21.0
1.5838,21.0
1.5921,21.0
1.6005,21.0
1.6088,21.0
1.6171,21.0
1.6255,21.0
1.6338,21.0
1.6422,21.0
1.6505,21.0
1.6589,21.0
1.6672,21.0
1.6755,21.0
1.6839,21.0
1.6922,21.0
1.7006,21.0
1.7089,21.0
1.7172,21.0
1.7256,21.0
1.7339,21.0
1.7423,21.0
1.7506,21.0
1.759,21.0
1.7673,21.0
1.7756,21.0
1.784,21.0
1.7923,21.0
1.8007,21.0
1.809,21.0
1.8173,21.0
1.8257,21.0
1.834,21.0
1.8424,21.0
1.8507,21.0
1.8591,21.0
1.8674,21.0
1.8757,21.0
1.8841,21.0
1.8924,21.0
1.9008,21.0
1.9091,21.0
1.9174,21.0
1.9258,21.0
1.9341,21.0
1.9425,21.0
1.9508,21.0
1.9592,21.0
1.9675,21.0
1.9758,21.0
1.9842,21.0
1.9925,21.0
2.0009,21.0
2.0092,21.0
2.0175,21.0
2.0259,21.0
2.0342,21.0
2.0426,21.0
2.0509,21.0
2.0593,21.0
2.0676,21.0
2.0759,21.0
2.0843,21.0
2.0926,21.0
2.101,21.0
2.1093,21.0
2.1176,21.0
2.126,21.0
2.1343,21.0
2.1427,21.0
2.151,21.0
2.1594,21.0
2.1677,21.0
2.176,21.0
2.1844,21.0
2.1927,21.0
2.2011,21.0
2.2094,21.0
2.2178,21.0
2.2261,21.0
2.2344,21.0
2.2428,21.0
2.2511,21.0
2.2595,21.0
2.2678,21.0
2.2761,21.0
2.2845,21.0
2.2928,21.0
2.3012,21.0
2.3095,21.0
2.3179,21.0
2.3262,21.0
2.3345,21.0
2.3429,21.0
2.3512,21.0
2.3596,21.0
2.3679,21.0
2.3762,21.0
2.3846,21.0
2.3929,21.0
2.4013,21.0
2.4096,21.0
2.418,21.0
2.4263,21.0
2.4346,21.0
2.443,21.0
2.4513,21.0
2.4597,21.0
2.468,21.0
2.4763,21.0
2.4847,21.0
2.493,21.0
2.5014,21.0
2.5097,21.0
2.5181,21.0
2.5264,21.0
2.5347,21.0
2.5431,21.0
2.5514,21.0
2.5598,21.0
2.5681,21.0
2.5764,21.0
2.5848,21.0
2.5931,21.0
2.6015,21.0
