t_s,weight
0.0074,0.0
0.0158,0.0
0.0241,0.0
0.0324,0.0
0.0408,0.0
0.0491,0.0
0.0575,0.0
0.0658,0.0
0.0741,0.0
0.0825,0.0
0.0908,0.0
0.0992,0.0
0.1075,0.0
0.1159,0.0
0.1242,0.0
0.1325,0.0
0.1409,0.0
0.1492,0.0
0.1576,0.0
0.1659,0.0
0.1742,0.0
0.1826,0.0
0.1909,0.0
0.1993,0.0
0.2076,0.0
0.216,0.0
0.2243,0.0
0.2326,0.0
0.241,0.0
0.2493,0.0
0.2577,0.0
0.266,0.0
0.2743,0.0
0.2827,0.0
0.291,0.0
0.2994,0.0
0.3077,0.0
0.3161,0.0
0.3244,0.0
0.3327,0.0
0.3411,0.0
0.3494,0.0
0.3578,0.0
0.3661,0.0
0.3744,0.0
0.3828,0.0
0.3911,0.0
0.3995,0.0
0.4078,0.0
0.4162,0.0
0.4245,0.0
0.4328,0.0
0.4412,0.0
0.4495,0.0
0.4579,0.0
0.4662,0.0
0.4745,0.0
0.4829,0.0
0.4912,0.0
0.4996,0.0
0.5079,0.0
0.5163,0.0
0.5246,0.0
0.5329,0.0
0.5413,0.0
0.5496,0.0
0.558,0.0
0.5663,0.0
0.5746,0.0
0.583,0.0
0.5913,0.0
0.5997,0.0
0.608,0.0
0.6164,0.0
0.6247,0.0
0.633,0.3
0.6414,0.7
0.6497,1.0
0.6581,1.3
0.6664,1.6
0.6747,2.0
0.6831,2.0
0.6914,2.0
0.6998,2.0
0.7081,2.0
0.7165,2.0
0.7248,2.0
0.7331,2.0
0.7415,2.0
0.7498,2.0
0.7582,2.0
0.7665,2.0
0.7748,2.9
0.7832,2.9
0.7915,2.9
0.7999,2.9
0.8082,2.9
0.8166,2.9
0.8249,2.9
0.8332,2.9
0.8416,2.9
0.8499,3.9
0.8583,3.9
0.8666,3.9
0.8749,3.9
0.8833,3.9
0.8916,3.9
0.9,3.9
0.9083,3.9
0.9167,3.9
0.925,12.7
0.9333,21.5
0.9417,21.5
0.95,21.5
0.9584,21.5
0.9667,21.5
0.975,21.5
0.9834,21.5
0.9917,21.5
1.0001,21.5
1.0084,21.5
1.0168,21.5
1.0251,21.5
1.0334,21.5
1.0418,21.5
1.0501,21.5
1.0585,22.5
1.0668,22.5
1.0751,22.5
1.0835,22.5
1.0918,22.5
1.1002,22.5
1.1085,22.5
1.1169,22.5
1.1252,22.8
1.1335,23.2
1.1419,23.5
1.1502,23.8
1.1586,24.1
1.1669,24.5
1.1752,24.5
1.1836,24.5
1.1919,24.5
1.2003,24.5
1.2086,24.5
1.217,24.5
1.2253,24.5
1.2336,24.5
1.242,27.0
1.2503,27.0
1.2587,27.0
1.267,27.0
1.2753,27.0
1.2837,27.0
1.292,27.0
1.3004,27.0
1.3087,27.0
1.3171,27.0
1.3254,27.0
1.3337,27.2
1.3421,27.9
1.3504,28.6
1.3588,29.4
1.3671,29.4
1.3754,29.4
1.3838,29.4
1.3921,29.4
1.4005,29.4
1.4088,29.4
1.4172,29.4
1.4255,29.4
1.4338,29.7
1.4422,30.0
1.4505,30.3
1.4589,30.5
1.4672,30.5
1.4755,30.5
1.4839,30.5
1.4922,30.5
1.5006,30.5
1.5089,30.5
1.5173,30.5
1.5256,30.5
1.5339,30.5
1.5423,30.5
1.5506,30.5
1.559,30.5
1.5673,30.5
1.5756,30.5
1.584,30.5
1.5923,30.5
1.6007,30.5
1.609,30.5
1.6174,30.5
1.6257,30.5
1.634,30.5
1.6424,30.5
1.6507,30.5
1.6591,30.5
1.6674,30.5
1.6757,30.5
1.6841,30.5
1.6924,30.5
1.7008,30.5
1.7091,30.5
1.7175,30.5
1.7258,30.5
1.7341,30.5
1.7425,30.5
1.7508,30.5
1.7592,30.5
1.7675,30.5
1.7758,30.5
1.7842,30.5
1.7925,30.5
1.8009,30.5
1.8092,30.5
1.8176,30.5
1.8259,30.5
1.8342,30.5
1.8426,30.5
1.8509,30.5
1.8593,30.5
1.8676,30.5
1.8759,30.5
1.8843,30.5
1.8926,30.5
1.901,30.5
1.9093,30.5
1.9177,30.5
1.926,30.5
1.9343,30.5
1.9427,30.5
1.951,30.5
1.9594,30.5
1.9677,30.5
1.976,30.5
1.9844,30.5
1.9927,30.5
2.0011,30.5
2.0094,30.5
2.0178,30.5
2.0261,30.5
2.0344,30.5
2.0428,30.5
2.0511,30.5
2.0595,30.5
2.0678,30.5
2.0761,30.5
2.0845,30.5
2.0928,30.5
2.1012,30.5
2.1095,30.5
2.1179,30.5
2.1262,30.5
2.1345,30.5
2.1429,30.5
2.1512,30.5
2.1596,30.5
2.1679,30.5
2.1762,30.5
2.1846,30.5
2.1929,30.5
2.2013,30.5
2.2096,30.5
2.218,30.5
2.2263,30.5
2.2346,30.5
2.243,30.5
2.2513,30.5
2.2597,30.5
2.268,30.5
2.2763,30.5
2.2847,30.5
2.293,30.5
2.3014,30.5
2.3097,30.5
2.3181,30.5
2.3264,30.5
2.3347,30.5
2.3431,30.5
2.3514,30.5
2.3598,30.5
2.3681,30.5
2.3764,30.5
2.3848,30.5
2.3931,30.5
2.4015,30.5
2.4098,30.5
2.4182,30.5
2.4265,30.5
2.4348,30.5
2.4432,30.5
2.4515,30.5
2.4599,30.5
2.4682,30.5
2.4765,30.5
2.4849,30.5
2.4932,30.5
2.5016,30.5
2.5099,30.5
2.5183,30.5
2.5266,30.5
2.5349,30.5
2.5433,30.5
2.5516,30.5
2.56,30.5
2.5683,30.5
2.5766,30.5
2.585,30.5
